10.280s cloud-init-main.service
 7.007s NetworkManager.service
 5.952s NetworkManager-wait-online.service
 4.817s dev-mmcblk0p2.device
 2.239s cloud-init-local.service
 2.091s udisks2.service
 1.917s accounts-daemon.service
 1.893s rpi-resize-swap-file.service
 1.837s user@1000.service
 1.786s systemd-udev-trigger.service
 1.617s polkit.service
 1.428s ModemManager.service
 1.324s avahi-daemon.service
 1.324s bluetooth.service
 1.200s cloud-final.service
 1.181s keyboard-setup.service
 1.093s packagekit.service
 1.090s systemd-udevd.service
 1.082s e2scrub_reap.service
 1.051s dbus.service
 1.050s systemd-logind.service
 1.023s systemd-timesyncd.service
  974ms rp1-test.service
  911ms systemd-journald.service
  883ms glamor-test.service
  862ms cloud-config.service
  856ms systemd-hostnamed.service
  839ms systemd-tmpfiles-setup-dev-early.service
  759ms wpa_supplicant.service
  746ms systemd-fsck@dev-disk-by\x2dpartuuid-dab82e50\x2d01.service
  725ms lightdm.service
  696ms systemd-tmpfiles-setup.service
  669ms plymouth-quit-wait.service
  613ms systemd-rfkill.service
  605ms systemd-binfmt.service
  584ms sshswitch.service
  558ms alsa-restore.service
  553ms systemd-tmpfiles-setup-dev.service
  548ms cups.service
  521ms systemd-udev-load-credentials.service
  501ms systemd-zram-setup@zram0.service
  461ms rpi-setup-loop@var-swap.service
  436ms plymouth-start.service
  431ms systemd-sysctl.service
  423ms systemd-modules-load.service
  411ms rpi-eeprom-update.service
  410ms systemd-remount-fs.service
  406ms sys-kernel-debug.mount
  405ms rpcbind.service
  404ms sys-kernel-tracing.mount
  397ms dev-mqueue.mount
  396ms kmod-static-nodes.service
  395ms systemd-journal-flush.service
  394ms run-lock.mount
  394ms modprobe@configfs.service
  387ms systemd-random-seed.service
  361ms modprobe@drm.service
  360ms modprobe@fuse.service
  332ms console-setup.service
  304ms run-rpc_pipefs.mount
  299ms sys-kernel-config.mount
  293ms plymouth-read-write.service
  285ms cloud-init-network.service
  284ms sys-fs-fuse-connections.mount
  247ms proc-sys-fs-binfmt_misc.mount
  231ms systemd-user-sessions.service
  209ms boot-firmware.mount
  195ms dev-zram0.swap
  189ms tmp.mount
  184ms nfs-blkmap.service
  183ms rpc-statd-notify.service
  161ms modprobe@efi_pstore.service
  154ms user-runtime-dir@1000.service
